id, en_name,zh_name,desc
21, fire lily ,火百合,火百合是龙舌兰科茅花属的多年生植物，是澳大利亚东部的特有种。我国热带地区引种栽培。
3, canterbury bells ,风铃草,风铃草是桔梗科、风铃草属二年生宿根草本植物，株高50-120厘米；茎粗壮直立，基生。叶簇生，卵形至倒卵形；小花1-2朵聚生成总状花序，花冠钟形，长约6厘米，有白、蓝或紫等色；蒴果，带有宿存的花萼裂片；种子多数，椭圆状，平滑。花期5-6月。
45, bolero deep blue ,洋桔梗,洋桔梗（Eustoma russellianum）又名草原龙胆，为龙胆科龙胆属观赏植物。洋桔梗为1～2年生草本，茎直立，灰绿色，卵状或长椭圆形叶对生，叶片灰绿色，原产北美洲，是近年逐渐流行的一种高档切花。洋桔梗有单瓣品种和重瓣品种两大类，花冠呈美丽的杯状或钟状，颜色有白色、粉红色、橘红色、紫色、蓝色及复色等。
1, pink primrose ,红花月见草,红花月见草（Oenothera speciosa），又称粉花月见草、待霄草、粉晚樱草，是月见草的一种。多年生草本，具粗大主根，茎常丛生，基生叶紧贴地面，倒披针形，花期4-11月，果期9-12月。原产美国得克萨斯州南部和墨西哥，生于海拔1000-2000米荒地草地、沟边半阴处，繁殖力强。根入药，有消炎、降血压功效。
34, mexican aster ,墨西哥紫苑,菊科植物。树高是1-4英尺，树幅是2至3英尺，六月到霜冻开花，养护成本低。
27, prince of wales feathers ,Celosia argentea,"学名Celosia argentea,树高是1-1.50英尺，树幅是0.75至1英尺，六月到霜冻开花，养护成本低。"
7, moon orchid ,鹤望兰,鹤望兰（Strelitzia reginae Aiton）芭蕉科鹤望兰亚科 [1]  多年生草本植物，无茎。叶片长圆状披针形，长25-45cm，宽10cm。叶片顶端急尖；叶柄细长。花数朵生于总花梗上，下托一佛焰苞；佛焰苞绿色，边紫红，萼片橙黄色，花瓣暗蓝色；雄蕊与花瓣等长；花药狭线形，花柱突出，柱头3。花期在冬季。
16, globe-flower ,金莲花,金莲花（学名：Trollius chinensis Bunge），别名：旱地莲、金梅草、金疙瘩，是毛茛科金莲花属的植物。多年生草本，茎高30-70厘米，不分枝。花单独顶生或2-3朵组成稀疏的聚伞花序，直径3.8-5.5厘米；花梗长5-9厘米；苞片三裂；萼片(6-)10-15(-19)片，金黄色；花瓣18-21个，狭线形，顶端渐狭，长1.8-2.2厘米，宽1.2-1.5毫米。6-7月开花，8-9月结果。
25, grape hyacinth ,麝香兰 ,（葡萄）麝香兰。又名葡萄风信子、葡萄水仙、葡萄百合、蓝壶花、蓝瓶花。百合科麝香兰属多年生小球根植物，约50种。原产于地中海地区。多数品种的花密集簇生于无叶花葶顶端，呈花坛状，颜色有蓝色、白色或粉红色。部分种有麝香味。春天开花，常被栽培为花园观赏植物。
26, corn poppy ,丽春花 ,丽春花又名仙女蒿、虞美人、赛牡丹，系罂粟科一、二年生宿根草本。
79, toad lily , 蟾蜍百合 ,蟾蜍百合外观十分奇特，花朵上面有着大量的斑点，看起来却异常的美丽，是一种令人赏心悦目的花
39, siam tulip ,姜黄,姜黄属（学名：Curcuma）是姜科下的一个属，为多年生草本植物[3]。常见的植物有姜黄及姜荷花。
24, red ginger , 红姜,紫花山姜（学名：Alpinia purpurata (Vieill.) K.Schum）：是多年生草本植物。具根状茎，通常具发达的地上茎，高1.2-1.8米。叶片长圆形，长30-80厘米，宽10-22厘米，无毛。花序顶生在多叶嫩枝上，不分枝，总状花序。花萼管状，带红色，唇瓣比花冠裂片大，显著，常有美丽的色彩，颜色为粉红、玫瑰、紫红色、洋红、粉紫色、红色。有时顶端2裂。蒴果肉质，近球形，通常不规则开裂；种子3毫米长，多数，有假种皮，成角。
67, spring crocus , 藏红花;黄色藏红花 ,番红花（学名：Crocus sativus L.）又称藏红花、西红花，是一种鸢尾科番红花属的多年生花卉，也是一种常见的香料。多年生草本。球茎扁圆球形，直径约3厘米，外有黄褐色的膜质包被。叶基生，9-15枚，条形，灰绿色，边缘反卷；叶丛基部包有4-5片膜质的鞘状叶。花茎甚短，不伸出地面；花1-2朵，淡蓝色、红紫色或白色，有香味，花柱橙红色，柱头略扁，顶端楔形，有浅齿，子房狭纺锤形。蒴果椭圆形，长约3厘米。
35, alpine sea holly ,海冬青,海冬青(Eryngium Maritimum) ，又名“滨海刺芹”，属伞形科和刺芹属植物，是一种欧洲原生的海岸植物，生长于布列塔尼海岸沙地。极端的环境让这种植物在进化中逐渐发展为生命力极其强大的盐生植物。
32, garden phlox , 草夹竹桃 ,草夹竹桃是一种耐寒草本植物，成簇的花朵，外形小而色彩鲜艳。草夹竹桃与吉莉草（gilia）是同一属植物。草夹竹桃是最受人们欢迎的园艺植物，多被用于妆点路边花坛或假山
10, globe thistle , 球蓟 , 球蓟(Cfnara 5colymusl )，又名菜蓟或朝鲜蓟，是菊科多 年生植物，原产欧洲地中海地区。球蓟株高lm一2m，叶片羽 状深裂，浓绿上举，似古代战戟。
6, tiger lily ,卷丹,卷丹（学名：Lilium lancifolium Thunb.）：卷丹花瓣有平展的，有向外翻卷的，故有“卷丹”美名。鳞茎近宽球形，高约3.5厘米，直径4-8厘米；鳞片宽卵形，长2.5-3厘米，宽1.4-2.5厘米，白色。茎高0.8-1.5米，带紫色条纹，具白色绵毛。叶散生，矩圆状披针形或披针形，两面近无毛，有5-7条脉。花3-6朵或更多；苞片叶状，卵状披针形；花下垂，花被片披针形，反卷，橙红色，有紫黑色斑点。蒴果狭长卵形，长3-4厘米。花期7-8月，果期9-10月。
93, ball moss ,苔藓球,苔藓球（学名：Tillandsia recurvata (L.) L.）是凤梨科、铁兰属植物。
33, love in the mist ,雾中恋花,一种迷人的老式花卉，在春季和初夏盛开。属名Nigella来自拉丁语niger（黑色），指的是浓郁的黑色种子。大马士革猪笼草是毛茛科（毛茛科）该属的约 15 个物种之一，来自南欧和北非。在其原生栖息地，它生长在田野、路边、岩石或荒地上。
9, monkshood , 川乌 ,川乌，正名为乌头（学名：Aconitum carmichaelii / Radix ），别名：鹅儿花、铁花、五毒；被子植物门，毛茛科，乌头属。 [1]  川乌为乌头的母根，外观呈圆锥形，顶端多有残存茎基，根中部多向一边膨大；表面颜色呈灰棕色或者棕褐色，可见有小瘤状侧根呈突起状（习称为“钉角”），子根脱离在母根表面留有痕迹；川乌质地坚实，断面呈类白色或者浅灰黄色，形成层环多呈多角形；闻之气微，嚼之味辛辣麻舌。
102, blackberry lily , 黑莓百合 ,黑莓百合（有时也称为豹纹百合）实际上是鸢尾属植物的一种，而不是百合。它是一种丛生植物，由蔓延的根茎生长而成，扁平的带状叶子长达 10 英寸。在仲夏至夏末，细长的茎高达 4 英尺，开出六片花瓣的亮橙色、带红色斑点的花朵。花朵被梨形种子荚取代，这些种子荚在夏末开放，露出类似黑莓的种子簇（通用名称的来源）。
14, spear thistle , 矛蓟 ,矛蓟是一种常见的扰动地面植物，如路边和田野边缘，夏季出现紫色、蓬松的花头。它的花吸引昆虫，它的种子喂鸟。
